Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;17/11/2023;18:00:00;5.096,720;5.097,757;5.087,390;5.092,055;2.512.608.248,17;49.341
WDOFUT;17/11/2023;17:00:00;5.091,537;5.098,793;5.089,982;5.096,202;6.876.029.842,16;134.979
WDOFUT;17/11/2023;16:00:00;5.086,872;5.092,055;5.084,280;5.091,018;8.432.445.894,30;165.700
WDOFUT;17/11/2023;15:00:00;5.073,914;5.087,390;5.072,877;5.087,390;8.559.303.424,58;168.494
WDOFUT;17/11/2023;14:00:00;5.083,243;5.084,280;5.071,322;5.074,432;11.780.327.578,02;232.033
WDOFUT;17/11/2023;13:00:00;5.078,578;5.088,945;5.077,023;5.083,762;10.511.949.250,29;206.798
WDOFUT;17/11/2023;12:00:00;5.080,652;5.089,982;5.077,023;5.078,578;15.470.012.441,82;304.313
WDOFUT;17/11/2023;11:00:00;5.077,023;5.086,872;5.069,767;5.081,170;21.038.281.752,13;414.245
WDOFUT;17/11/2023;10:00:00;5.053,699;5.083,762;5.046,960;5.077,023;31.455.976.966,18;620.635
WDOFUT;17/11/2023;09:00:00;5.040,222;5.062,510;5.036,076;5.053,180;26.990.688.102,12;534.514
WDOFUT;16/11/2023;18:00:00;5.053,699;5.055,254;5.049,034;5.049,034;1.430.291.831,69;28.305
WDOFUT;16/11/2023;17:00:00;5.056,290;5.058,364;5.052,144;5.054,217;4.205.870.297,63;83.190
WDOFUT;16/11/2023;16:00:00;5.052,662;5.056,809;5.051,107;5.055,772;7.003.196.897,23;138.574
WDOFUT;16/11/2023;15:00:00;5.051,625;5.053,180;5.042,814;5.052,662;11.164.138.776,69;221.191
WDOFUT;16/11/2023;14:00:00;5.067,175;5.068,730;5.049,034;5.051,107;11.882.991.025,93;235.002
WDOFUT;16/11/2023;13:00:00;5.038,667;5.074,432;5.038,667;5.067,175;19.189.805.521,67;379.206
WDOFUT;16/11/2023;12:00:00;5.038,667;5.046,960;5.033,484;5.039,186;13.490.900.888,40;267.674
WDOFUT;16/11/2023;11:00:00;5.028,301;5.046,960;5.027,782;5.038,667;24.644.548.492,39;489.096
WDOFUT;16/11/2023;10:00:00;5.047,997;5.049,034;5.022,599;5.028,301;23.096.649.265,04;458.729
WDOFUT;16/11/2023;09:00:00;5.050,070;5.053,699;5.031,929;5.047,997;21.823.442.612,82;432.662
WDOFUT;14/11/2023;18:00:00;5.052,144;5.055,772;5.051,107;5.054,735;2.107.918.328,99;41.713
WDOFUT;14/11/2023;17:00:00;5.048,515;5.053,699;5.046,442;5.052,144;7.349.226.192,68;145.534
WDOFUT;14/11/2023;16:00:00;5.050,589;5.055,254;5.045,924;5.047,997;6.791.385.551,37;134.482
WDOFUT;14/11/2023;15:00:00;5.055,254;5.055,772;5.047,479;5.050,070;6.796.483.717,44;134.554
WDOFUT;14/11/2023;14:00:00;5.053,699;5.057,845;5.052,662;5.055,772;7.942.685.224,72;157.123
WDOFUT;14/11/2023;13:00:00;5.054,735;5.057,327;5.046,960;5.053,699;10.191.330.594,67;201.727
WDOFUT;14/11/2023;12:00:00;5.042,295;5.063,029;5.040,741;5.054,735;18.691.316.943,37;370.096
WDOFUT;14/11/2023;11:00:00;5.047,997;5.052,662;5.035,039;5.042,295;25.991.528.177,90;515.526
WDOFUT;14/11/2023;10:00:00;5.085,317;5.085,317;5.034,521;5.047,479;38.616.095.899,12;764.095
WDOFUT;14/11/2023;09:00:00;5.087,908;5.096,202;5.082,207;5.085,317;15.763.385.809,49;309.726
WDOFUT;13/11/2023;18:00:00;5.100,348;5.100,867;5.097,238;5.097,757;1.408.362.355,77;27.621
WDOFUT;13/11/2023;17:00:00;5.097,757;5.102,422;5.096,720;5.100,348;4.677.290.534,80;91.720
WDOFUT;13/11/2023;16:00:00;5.099,830;5.099,830;5.096,720;5.097,757;5.478.826.260,47;107.457
WDOFUT;13/11/2023;15:00:00;5.104,495;5.107,086;5.095,683;5.099,830;8.367.703.556,25;164.066
WDOFUT;13/11/2023;14:00:00;5.100,867;5.107,086;5.099,312;5.104,495;8.459.290.369,52;165.745
WDOFUT;13/11/2023;13:00:00;5.105,013;5.106,050;5.096,720;5.100,867;15.992.943.277,97;313.523
WDOFUT;13/11/2023;12:00:00;5.121,600;5.122,118;5.103,458;5.104,495;15.658.241.544,95;306.266
WDOFUT;13/11/2023;11:00:00;5.128,338;5.130,930;5.120,045;5.121,600;15.496.118.512,06;302.295
WDOFUT;13/11/2023;10:00:00;5.117,971;5.134,040;5.115,380;5.128,338;21.134.048.948,69;412.346
WDOFUT;13/11/2023;09:00:00;5.100,348;5.119,008;5.097,757;5.118,490;17.326.612.842,83;339.160
WDOFUT;10/11/2023;18:00:00;5.099,830;5.100,348;5.092,055;5.093,092;2.133.442.617,42;41.855
WDOFUT;10/11/2023;17:00:00;5.105,013;5.106,568;5.098,793;5.100,348;4.388.549.973,08;86.001
WDOFUT;10/11/2023;16:00:00;5.107,605;5.107,605;5.098,793;5.105,013;5.216.057.869,28;102.223
WDOFUT;10/11/2023;15:00:00;5.098,275;5.108,123;5.095,683;5.107,605;7.737.303.686,77;151.619
WDOFUT;10/11/2023;14:00:00;5.097,757;5.102,422;5.094,647;5.098,275;8.704.702.182,37;170.731
WDOFUT;10/11/2023;13:00:00;5.109,678;5.110,196;5.097,238;5.097,757;12.126.286.961,38;237.567
WDOFUT;10/11/2023;12:00:00;5.116,935;5.124,191;5.107,605;5.109,160;17.845.116.960,27;348.744
WDOFUT;10/11/2023;11:00:00;5.108,123;5.121,081;5.107,605;5.117,971;15.947.396.079,76;311.804
WDOFUT;10/11/2023;10:00:00;5.117,453;5.120,563;5.105,013;5.108,123;20.763.020.187,53;406.195
WDOFUT;10/11/2023;09:00:00;5.126,265;5.148,034;5.116,416;5.117,453;23.696.049.145,38;461.940
WDOFUT;09/11/2023;18:00:00;5.134,040;5.137,150;5.125,746;5.128,338;1.772.202.357,51;34.527
WDOFUT;09/11/2023;17:00:00;5.133,521;5.136,113;5.124,191;5.134,040;10.187.662.184,75;198.531
WDOFUT;09/11/2023;16:00:00;5.116,416;5.141,296;5.115,380;5.133,521;20.793.297.093,45;405.505
WDOFUT;09/11/2023;15:00:00;5.104,495;5.127,820;5.102,422;5.116,416;22.866.256.832,23;446.874
WDOFUT;09/11/2023;14:00:00;5.098,275;5.109,160;5.094,647;5.103,977;10.278.938.638,73;201.430
WDOFUT;09/11/2023;13:00:00;5.087,390;5.099,312;5.085,835;5.097,757;9.212.188.941,19;180.879
WDOFUT;09/11/2023;12:00:00;5.088,945;5.097,757;5.086,872;5.086,872;11.873.381.052,42;233.156
WDOFUT;09/11/2023;11:00:00;5.096,720;5.099,312;5.084,280;5.088,945;17.323.931.956,74;340.253
WDOFUT;09/11/2023;10:00:00;5.099,312;5.104,495;5.085,835;5.096,720;23.139.898.834,12;454.241
WDOFUT;09/11/2023;09:00:00;5.101,903;5.108,123;5.093,610;5.099,312;18.063.524.217,45;354.149
WDOFUT;08/11/2023;18:00:00;5.102,422;5.104,495;5.099,830;5.102,940;2.099.586.293,34;41.160
WDOFUT;08/11/2023;17:00:00;5.099,830;5.104,495;5.098,275;5.102,422;5.511.503.808,04;108.039
WDOFUT;08/11/2023;16:00:00;5.098,793;5.101,903;5.094,128;5.099,830;6.542.650.540,28;128.336
WDOFUT;08/11/2023;15:00:00;5.099,312;5.110,196;5.092,573;5.098,793;19.163.516.118,80;375.751
WDOFUT;08/11/2023;14:00:00;5.082,725;5.103,977;5.081,688;5.099,830;17.141.981.848,78;336.498
